name,category,ratings,reviews,tags,url,stars,desc,parent,flavor
Cherry Kush,Hybrid,306,192,"happy, relaxed, uplifted, euphoric, hungry, dry-mouth, dry-eyes, dizzy, paranoid, headache, sweet, berry, earthy, pungent, woody, stress, pain, depression, lack-of-appetite, insomnia, anxiety, migraines, arthritis, pms, addadhd.",https://www.leafly.com/Hybrid/cherry-kush,4.195,"A cross between Purple Afghani and OG Kush, Cherry Kush is a very potent indica-dominant hybrid that has become very popular with medical patients in the SF Bay Area. Sometimes called Cherry Pie, these flowers range from a bright, vibrant green to a darker, purple-tinged red color, and boast a dense coating of trichomes. The flavor is reminiscent of cherries with a woody, hashy undertone, and the high starts out as stimulating and cerebral before fading into a deep feeling of relaxation.","Purple Afghani, OG Kush.","Sweet, Berry, Earthy."
Cherry Limeade,Hybrid,26,20,"happy, relaxed, euphoric, uplifted, creative, dry-mouth, berry, sweet, citrus, lime, tropical, nausea, pain, headaches, stress, depression, anxiety, arthritis, migraines, asthma, bipolar-disorder.",https://www.leafly.com/Hybrid/cherry-limeade,4.31,Cherry Limeade is a hybrid strain that competed in the 2014 L.A. Cannabis Cup.,.,"Berry, Sweet, Citrus."
Cherry OG,Hybrid,97,67,"euphoric, happy, relaxed, uplifted, talkative, dry-mouth, headache, anxious, berry, sweet, earthy, diesel, citrus, pain, stress, depression, insomnia, lack-of-appetite, anxiety, ptsd, addadhd, bipolar-disorder, migraines.",https://www.leafly.com/Hybrid/cherry-og,4.05,"Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors.","Thai, Afghani, Lost Coast OG.","Berry, Sweet, Earthy."
Cherry Pie,Hybrid,1418,981,"happy, relaxed, euphoric, uplifted, hungry, dry-mouth, dry-eyes, paranoid, dizzy, headache, sweet, berry, earthy, pungent, pine, stress, depression, pain, insomnia, lack-of-appetite, anxiety, ptsd, addadhd, bipolar-disorder, migraines.",https://www.leafly.com/Hybrid/cherry-pie,4.37,"Cherry Pie's parents are Granddaddy Purple and Durban Poison. With buds that are dense and full of orange hairs and a touch of purple, this strain smells of sweet and sour cherry pie. The effects have been known to come on in minutes and stick around for a couple hours.","Granddaddy Purple, Durban Poison.","Sweet, Berry, Earthy."
Cherry Pie Kush,Hybrid,12,6,"happy, uplifted, giggly, sleepy, talkative, anxious, dizzy, paranoid, earthy, sweet, berry, flowery, honey, stress, depression, pain, headaches, lack-of-appetite, anxiety, pms, ptsd, anorexia, bipolar-disorder.",https://www.leafly.com/Hybrid/cherry-pie-kush,4.335,"Cherry Pie Kush (not to be confused with Cherry Pie) is essentially a Cherry Pie cross of Durban Poison and Granddaddy Purple, infused with the California native, San Fernando Valley OG. Some folks claim this strain came before Cherry Pie and others say it’s a product of Cookie Fam’s famous hybrid lineage. With bright cerebral effects that stilt the heavy weight on the limbs, this strain functions as medical-grade all-day flower, soothing physical discomfort without being overly sedative. Expect earthy and tart notes that linger in the air and coat the palate in a pungent, velvety vapor.","Durban Poison, Granddaddy Purple, SFV OG.","Earthy, Sweet, Berry."
Cherry Sauce,Hybrid,0,0,"creative, energetic, euphoric, focused, happy, dry-eyes, dry-mouth, butter, flowery, spicyherbal, sweet.",https://www.leafly.com/Hybrid/cherry-sauce,NA,"Cherry Sauce by Andromeda Strains is a delicious cross with diverse genetics. The offspring of parent strains Cherry Pie and The Sauce, Cherry Sauce offers complex nuances in flavor, aroma, and effect. With a terpene profile exhibiting skunk, spice, earth, and tartness and a velvety flavor, Cherry Sauce is worthy of a place on any cannabis connoisseur's roster. The effects are heavy-hitting but balanced overall, stimulating the mind with a rush of energy, and melting into a vibrating full-body buzz that helps with nausea and stress without sacrificing alertness.",.,"Butter, Flowery, Spicy/Herbal."
Cherry Sherbet,Hybrid,24,19,"euphoric, relaxed, happy, aroused, dry-eyes, dry-mouth, pungent, sweet, diesel, earthy, berry, stress, depression, cramps, lack-of-appetite, pain, anxiety, arthritis, hypertension, bipolar-disorder, gastrointestinal-disorder.",https://www.leafly.com/Hybrid/cherry-sherbet,4.335,"Cherry Sherbet is an indica-dominant delight. This stinky sweet herb is the genetic cross of Sour Sherbet and Cherry Pie. These heavy-hitting buds will smoke sweet and tangy, settling behind the eyes and melting over the body, coating the smoker in a warm physical buzz coupled with an unlifted cerebral haze. Pack a bowl of this fine flower to help combat depression and chronic anxiety.",Cherry Pie.,"Pungent, Sweet, Diesel."
Cherry Skunk,Hybrid,71,56,"relaxed, euphoric, uplifted, focused, happy, dry-mouth, dry-eyes, dizzy, sweet, skunk, berry, orange, earthy, pain, stress, depression, fatigue, headaches, migraines, ptsd, arthritis, addadhd, gastrointestinal-disorder.",https://www.leafly.com/Hybrid/cherry-skunk,4.38,"Cherry Skunk is an indica-dominant hybrid that combines genetics from Skunk Dawg and Poppa Cherry. Blissful, euphoric effects settle in to help dissolve stress and bad moods, while its calming qualities encourage rest and relaxation. This strain also provides a burst of cerebral energy and expands the mind to feed creativity and introspection.",Skunk Dawg.,"Sweet, Skunk, Berry."
Cherry Thunder Fuck,Hybrid,12,9,"euphoric, happy, uplifted, relaxed, aroused, earthy, berry, pungent, sweet, citrus, stress, depression, pain, muscle-spasms, fatigue, anxiety, ptsd, addadhd, arthritis, asthma.",https://www.leafly.com/Hybrid/cherry-thunder-fuck,4.835,"Cherry Thunder Fuck is an ultra-pungent strain with unique, long-lasting effects. Created by breeding a Cherry Bomb mother with a Maple Leaf Indica x Matanuska Thunder Fuck cross, Cherry Thunder Fuck offers an array of pungent, earthy aromas wrapped in the smell of overripe cherries. With elevated euphoria and a pleasant pressure behind the eyes, this Canadian native works to relieve minor pain while infusing the mind with uplifting alertness. Enjoy Cherry Thunder Fuck to calm the body while stimulating the appetite and improving mood.","Cherry Bomb, Maple Leaf Indica, Matanuska Thunder Fuck.","Earthy, Berry, Pungent."
Chiesel,Hybrid,185,124,"happy, euphoric, uplifted, relaxed, focused, dry-mouth, dry-eyes, paranoid, anxious, headache, cheese, diesel, pungent, earthy, citrus, pain, stress, depression, fatigue, headaches, anxiety, migraines, addadhd, ptsd, bipolar-disorder.",https://www.leafly.com/Hybrid/chiesel,4.425,"Big Buddha Cheese and NYC Diesel come together to form the Chiesel cannabis variety. Strong smell is to be expected considering its lineage, and Chiesel provides a euphoric and functional stone. Chiesel has been known to produce a very high yield under optimum conditions.","Big Buddha Cheese, NYC Diesel.","Cheese, Diesel, Pungent."
China Yunnan,Indica,8,6,"happy, relaxed, uplifted, euphoric, sleepy, dry-eyes, dry-mouth, earthy, cheese, sweet, citrus, lemon, depression, stress, headaches, insomnia, lack-of-appetite, anxiety, asthma, migraines, addadhd, ptsd.",https://www.leafly.com/Indica/china-yunnan,4.56,"China Yunnan is where deep indica relaxation meets the sweet, woody sativa varieties of South Asia. From the southern Chinese province of Yunnan, ACE Seeds cultivated this 80% indica strain for its heavy resin production and resilience in the garden. China Yunnan’s onset begins with a happy headspace and heightened sensory awareness, followed by a full-body calm that eases pain, sleeplessness, and anxiety. This hardy indica grows best indoors with a 8 to 9 week flowering time, but outdoor gardens in warm, dry climates tend to fare well also.",.,"Earthy, Cheese, Sweet."
Chiquita Banana,Hybrid,36,23,"happy, euphoric, uplifted, relaxed, energetic, dry-mouth, dry-eyes, paranoid, sweet, tropical, flowery, berry, orange, depression, pain, stress, headaches, insomnia, ptsd, addadhd, anorexia, anxiety, bipolar-disorder.",https://www.leafly.com/Hybrid/chiquita-banana,4.695,"Chiquita Banana by Utoptia Farms takes the Banana OG cut to the next level, with an average THC percentage pushing 33%. A cross between parent strains OG Kush and Banana, Chiquita Banana leads with a potent heady sizzle (likely brought on by the enormous quantity of THC) which then melds into a Kush-esque body buzz that is relaxing but not sedative. These Kush effects continue to gain potency over time, “creeping” over the body. This powerful hybrid is an outstanding option for patients struggling to hurdle their tolerance barrier, and its effects are also well-suited for those suffering from chronic pain or nausea.",OG Kush.,"Sweet, Tropical, Flowery."
Chloe,Hybrid,21,14,"happy, relaxed, euphoric, uplifted, creative, dry-eyes, sweet, earthy, honey, spicyherbal, grapefruit, insomnia, pain, depression, inflammation, muscle-spasms, ptsd, arthritis, fibromyalgia, bipolar-disorder, cachexia.",https://www.leafly.com/Hybrid/chloe,5,"Chloe is a powerful and mysterious sativa-dominant hybrid created by Chris Wren of Medizin, Las Vegas. This strain won 1st place at the International Cannagraphic Magazine Cup in 2015 and has since gone on to accrue local renown and praise for its incredible medicinal qualities. Even though this strain leans 60/40 sativa-dominant, it possesses potency and physical sedation that can lull the most experienced person to sleep with continued consumption. Chloe is also a welcome companion for patients seeking relief from a wide variety of ailments, including loss of appetite and chronic pain.",.,"Sweet, Earthy, Honey."
Chocolate Chunk,Indica,178,126,"relaxed, sleepy, happy, dry-mouth, euphoric, dry-mouth, dry-eyes, headache, paranoid, anxious, pungent, earthy, sweet, woody, nutty, insomnia, stress, pain, depression, lack-of-appetite, anxiety, ptsd, addadhd, pms, migraines.",https://www.leafly.com/Indica/chocolate-chunk,4.175,"Chocolate Chunk by TH Seeds is a pure indica that will meld you with the couch.  Very fast flowering of 55 days, great for sea-of-green growing method.",Afghani.,"Pungent, Earthy, Sweet."
Chocolate Diesel,Sativa,30,18,"energetic, euphoric, creative, talkative, happy, paranoid, dry-eyes, dry-mouth, anxious, diesel, woody, earthy, coffee, nutty, stress, depression, cramps, nausea, fatigue, anxiety, addadhd, bipolar-disorder, alzheimers, pms.",https://www.leafly.com/Sativa/chocolate-diesel,4.585,"Chocolate Diesel is a sativa cannabis strain that brings together genetics from the original Sour Diesel and Chocolate Thai. With soaring euphoria that shoots straight to the head, Chocolate Diesel could easily be compared to a cup of coffee. Its flavors offer a little part of both parents, with notes of both earthy chocolate and skunky diesel.","Sour Diesel, Chocolate Thai.","Diesel, Woody, Earthy."
Chocolate Drop,Hybrid,2,1,"euphoric, giggly, happy, relaxed, uplifted, earthy, vanilla, depression, stress.",https://www.leafly.com/Hybrid/chocolate-drop,5,"Chocolate Drop is the supposed cross of Chocolate Kush and Lowryder. This indica-dominant hybrid produces squat plants with tree-shaped buds that reek of incense, cocoa, pungent earth, and citrus. The effects are relaxing but not overly sedative and offer a kind, uplifting euphoria. Enjoy Chocolate Drop throughout the day to help relieve stress, improve mood, and manage anxiety.","Chocolate Kush, Lowryder.","Earthy, Vanilla."
Chocolate Fondue,Sativa,31,20,"happy, euphoric, uplifted, focused, relaxed, dry-mouth, dry-eyes, earthy, cheese, sweet, pepper, spicyherbal, depression, stress, pain, inflammation, fatigue, anxiety, arthritis, fibromyalgia, pms, ptsd.",https://www.leafly.com/Sativa/chocolate-fondue,4.485,"Chocolate Fondue, bred by DNA Genetics, is a sativa-dominant cross that balances the uplifting effects of Chocolope with the relaxing effects and unique flavors of Exodus Cheese. The effects of Chocolate Fondue relax the body and calm the mind into a blissful state of consciousness. Its complex bouquet and sweet flavors make this cannabis strain enjoyable day or night.","Exodus Cheese, Chocolope.","Earthy, Cheese, Sweet."
Chocolate Hashberry,Hybrid,30,22,"happy, relaxed, euphoric, uplifted, sleepy, dry-eyes, dry-mouth, headache, berry, earthy, coffee, sweet, flowery, pain, stress, lack-of-appetite, insomnia, inflammation, anxiety, arthritis, cancer, hivaids, hypertension.",https://www.leafly.com/Hybrid/chocolate-hashberry,4.565,"Chocolate Hashberry is an aromatic strain with quality effects and beautiful foliage. With a smell indicative of its name, Chocolate Hashberry reeks of chocolate, hashy spice, and sweet berries. This delicious scent comes from combining two fantastic Kush cuts, Chocolate Kush and Blackberry Kush. On top of its excellent flavor and aroma, Chocolate Hashberry’s Kush lineage offers a delightful mid-level sedation and a relaxed mental state that helps curb anxiety and minor pain while enhancing mood and focus.","Chocolate Kush, Blackberry Kush.","Berry, Earthy, Coffee."
Chocolate Kush,Indica,37,29,"relaxed, happy, sleepy, creative, tingly, dry-mouth, dry-eyes, coffee, earthy, sweet, berry, chestnut, stress, pain, insomnia, headaches, lack-of-appetite, addadhd, cancer, spinal-cord-injury, crohns-disease, fibromyalgia.",https://www.leafly.com/Indica/chocolate-kush,4.495,"Chocolate Kush, bred by 00 Seeds, is a powerful indica strain that captures the best of its two parent strains. Mazar, with its resin-oozing buds, lends its potent full-body euphoria while its other pure indica parent passes on a pungent aroma of hashy incense. This strain grows into medium-sized plants with a Christmas tree structure and flowers in 56 to 60 days. The sativa-dominant Chocolope Kush sometimes goes by the name Chocolate Kush, so be sure to confirm this strain’s genetics with your budtender if you’re looking for the heavy-handed indica.",Mazar I Sharif.,"Sweet, Earthy, Coffee."
Chocolate Meringue,Indica,0,0,.,https://www.leafly.com/Indica/chocolate-meringue,NA,"Chocolate Meringue is another sweet offering by THClones. Created by crossing Lemon Tree with Chocolate Kush, Chocolate Meringue imbues consumers with a talkative, euphoric buzz known to elevate the mood and reduce stress. This blissful strain’s terpene profile is thick with honey, pine, cacao, and Meyer Lemon, making it especially sweet and zestful on the taste buds. This bulky, stress-melting indica is a great complement to social events and dinner plans.",.,.
Chocolate Thai,Sativa,84,61,"relaxed, uplifted, happy, energetic, focused, dry-mouth, dry-eyes, paranoid, coffee, spicyherbal, earthy, nutty, pepper, stress, headaches, pain, depression, muscle-spasms, bipolar-disorder, ptsd, pms, anxiety, arthritis.",https://www.leafly.com/Sativa/chocolate-thai,4.175,"A legendary landrace strain from Thailand, Chocolate Thai first made an appearance in the U.S. sometime in the 1960s as “Thai sticks,” spindly flowers tied to a bamboo stick that were renowned for their potent high. Old school heads remember these buds as slender and airy, medium-to-dark brown in color, and possessing a unique chocolate-coffee aroma. Due to the fact that it was a long-flowering, low-yielding sativa strain that always produced male flowers and seeds and was incredibly difficult to clone and grow, it is most likely that Chocolate Thai no longer exists in its original form. There are several seed lines sold under the name, but these have either been crossbred to provide some stabilizing traits or are of unknown provenance.",Thai.,"Coffee, Spicy/Herbal, Earthy."
Chocolate Thunder,Sativa,10,6,"creative, happy, uplifted, energetic, focused, dry-mouth, paranoid, honey, nutty, apricot, coffee, spicyherbal, stress, depression, fatigue, headaches, inflammation, anxiety, arthritis, asthma, bipolar-disorder, migraines.",https://www.leafly.com/Sativa/chocolate-thunder,3.7,"When you combine the sweet cocoa flavor of Chocolope with the strength and potency of Alaskan Thunder Fuck, you get none other than Chocolate Thunder. This clear-headed, active sativa may be all you need to inspire creativity or promote concentration, and patients will appreciate its ability to dull symptoms without fogging mental faculties. True to its name, Chocolate Thunder has a subtle sweet, earthy aroma similar to that of chocolate.",.,"Honey, Nutty, Apricot."
Chocolope,Sativa,1136,751,"happy, uplifted, energetic, euphoric, creative, dry-mouth, dry-eyes, anxious, dizzy, paranoid, coffee, earthy, sweet, nutty, pungent, stress, depression, pain, fatigue, lack-of-appetite, anxiety, addadhd, ptsd, bipolar-disorder, migraines.",https://www.leafly.com/Sativa/chocolope,4.31,"DNA Genetics developed Chocolope by crossing Chocolate Thai with Cannalope Haze to create their homage to the Chocolate strains of the 1980s. The hefty sativa buds give earthy, sweet coffee flavors that provide a dreamy, cerebral effect. Consumers report a strong, euphoric mental shift that is great when coping with depression or stress.","Chocolate Thai, Cannalope Haze.","Coffee, Earthy, Sweet."
Chocolope Kush,Hybrid,155,96,"relaxed, happy, creative, euphoric, focused, dry-mouth, dry-eyes, dizzy, paranoid, headache, earthy, sweet, pungent, woody, vanilla, stress, depression, pain, muscle-spasms, inflammation, anxiety, bipolar-disorder, ptsd, migraines, arthritis.",https://www.leafly.com/Hybrid/chocolope-kush,4.06,"Chocolope Kush, also known as Chocolate Kush, is a sativa-dominant strain is from the lineage of Chocolope (multiple Cannabis Cup winner) and Kosher Kush. Kosher Kush has been the front runner in each cannabis event it has competed in and has been published by High Times as the 7th overall strongest strain in the world. The buds on Chocolope Kush are dense and dark colored with a large amount of white crystals. It is known to have the aroma of vanilla mixed with chocolate. The high is described as a heavy cerebral one, and has a THC content of up to 14% along with a CBD of approximately 1%.","Chocolope, Kosher Kush.","Earthy, Sweet, Pungent."
Chong Star,Hybrid,21,19,"relaxed, happy, uplifted, focused, creative, earthy, honey, flowery, skunk, pungent, stress, pain, headaches, nausea, depression, anxiety, ptsd, migraines, arthritis, fibromyalgia.",https://www.leafly.com/Hybrid/chong-star,4.57,"Chong Star, named in honor of Tommy Chong, is a hybrid strain that is cultivated and sold by Marisol Therapeutics in Pueblo, Colorado.",.,"Earthy, Honey, Flowery."
CHR Super OG,Indica,4,2,"anxious, dry-mouth, giggly, happy, headache, apple, diesel, grape, pine, strawberry, eye-pressure, headaches, insomnia, lack-of-appetite, muscle-spasms, migraines.",https://www.leafly.com/Indica/chr-super-og,3.5,"A three-way cross between Skywalker OG, Tahoe OG Kush, and Larry OG, CHR Super OG is an indica strain that produces heavy effects that relax the mind and body. This Los Angeles native carries a pungent sour pine aroma that has come to characterize OG strains, and its heavy sedative effects are a perfect match for those sleepless nights caused by pain or insomnia.","Skywalker OG, Tahoe OG Kush, Larry OG.","Apple, Diesel, Grape."
Chronic,Hybrid,160,98,"happy, giggly, talkative, relaxed, uplifted, dry-mouth, dizzy, dry-eyes, paranoid, anxious, sweet, earthy, skunk, pine, honey, depression, stress, eye-pressure, pain, nausea, anxiety, addadhd, ptsd, bipolar-disorder, migraines.",https://www.leafly.com/Hybrid/chronic,4.425,"The word ""chronic"" has become a commonplace descriptor of high-quality marijuana, but this Chronic is a balanced hybrid cross between Northern Lights, Skunk, and AK-47 originally bred by Serious Seeds in 1994. The AK-47 was later introduced to the genetic mix to increase its resin content and effect complexity without diminishing yields. Sweet honey, flower, and spice color the aroma of this renowned hybrid, but take extra care during the drying process: its delicate scent is easily lost. Chronic forms massive colas with very few leaves, so topping this high-yielder isn't advisable.","Northern Lights, AK-47, Skunk #1.","Sweet, Earthy, Skunk."
Chronic Thunder,Indica,49,39,"relaxed, happy, euphoric, sleepy, hungry, dry-mouth, anxious, dry-eyes, paranoid, sweet, pungent, earthy, diesel, berry, stress, insomnia, depression, pain, inflammation, anxiety, ptsd, fibromyalgia, addadhd, arthritis.",https://www.leafly.com/Indica/chronic-thunder,4.43,"Chronic Thunder is an indica strain bred by Barney’s Farm that offers full-body effects alongside a funky diesel and spicy pepper aroma. Save this heavy-hitter for a day in which you find your to-do list blank, because this indica will have you stuck in a comfortable place for a while. With moderate levels of CBD, Chronic Thunder is preferred for resolving insomnia, pain, and upset stomachs.","Chronic, Alaskan Thunder Fuck.","Sweet, Pungent, Earthy."
Chucky's Bride,Hybrid,4,2,"dry-mouth, giggly, happy, aroused, creative, ammonia, butter, cheese, citrus, pine, depression, pain, insomnia, stress, anxiety, bipolar-disorder, migraines, tinnitus.",https://www.leafly.com/Hybrid/chuckys-bride,4.5,Chucky’s Bride is a cross of Exodus Cheese and Cinderella 99 bred by Eskobar Seeds. This sativa-dominant hybrid gives off an exotic mixture of sharp flavors. Cinderella 99’s tropical aroma of sweet citrus and pineapple blend with the pungent notes of skunky cheese that have become synonymous with Cheese strains. The unique terpene profile leads a charge of uplifting and creative effects that stimulate the appetite and ward off depression.,"Exodus Cheese, Cinderella 99.","Ammonia, Butter, Cheese."
Chunky Diesel,Hybrid,20,16,"uplifted, euphoric, happy, focused, creative, diesel, pungent, sweet, earthy, skunk, stress, depression, fatigue, inflammation, pain, anxiety, ptsd, fibromyalgia, addadhd, arthritis.",https://www.leafly.com/Hybrid/chunky-diesel,4.75,"Chunky Diesel bred Ganja Rebel Seed Co. for Cresco Labs is a West Coast rarity with classic roots. This combo of Deep Chunk (a robust indica straight out of 1970) and the ever-popular Sour Diesel creates a pleasantly motivating strain with a clear-headed mental state. With massive trichome production and a terpene profile of skunk, chocolate-covered espresso beans, and diesel, Chunky Diesel is sure to please sativa-dominant aficionados. Chunky Diesel may also assist with depression, fatigue, nausea while concurrently improving mood.","Deep Chunk, Sour Diesel.","Diesel, Pungent, Sweet."
Chupacabra,Hybrid,9,5,"focused, relaxed, uplifted, happy, energetic, earthy, vanilla, nutty, sweet, depression, pain, stress, headaches, nausea, addadhd, hivaids, ptsd, anxiety.",https://www.leafly.com/Hybrid/chupacabra,5,"Chupacabra looks like a sativa and acts like an indica. With tall, bright green buds that fray into even brighter orange hairs, this wild strain reeks of its Golden Goat heritage. This strain, bred by Colorado Seed Inc., brings together Hawaiian Romulan’s mental stylings with Island Sweet Skunk’s brilliant tropical aroma, and is finally anchored by Gupta Kush. This 50/50 hybrid will leave your mind sizzling as you nestle into your favorite piece of furniture.","Hawaiian, Romulan, Island Sweet Skunk.","Earthy, Vanilla, Nutty."
Church OG,Indica,109,74,"relaxed, happy, euphoric, sleepy, uplifted, dry-mouth, paranoid, anxious, dry-eyes, dizzy, earthy, spicyherbal, woody, citrus, diesel, insomnia, stress, pain, fatigue, inflammation, anxiety, spinal-cord-injury, arthritis, ptsd, addadhd.",https://www.leafly.com/Indica/church-og,4.24,"Church OG is an indica marijuana strain that provides strong body sensations that may evolve to a lasting cerebral effect. Its buds are known to be mold resistant, and the strain is grown in various mountain regions. Church OG is known for its dark green leaves with orange hairs and purple hues throughout. With a lineage of God's Gift and OG Kush, this strain has a THC level of up to 19% and a CBD level of up to 0.23%.",OG Kush.,"Earthy, Spicy/Herbal, Woody."
Cinderella's Dream,Hybrid,91,63,"uplifted, happy, energetic, euphoric, dry-mouth, dry-mouth, dry-eyes, earthy, sweet, tropical, citrus, flowery, stress, insomnia, depression, nausea, lack-of-appetite, anxiety, ptsd, bipolar-disorder, migraines, tinnitus.",https://www.leafly.com/Hybrid/cinderellas-dream,4.395,Cinderella’s Dream is a sativa-dominant hybrid of Cinex and Blue Dream. Its flavor is a skunky mix of lemon and citrus flavors with subtle notes of sweet berry. The effects from Cinderella’s Dream come on fast with a powerful but clearheaded mix of cerebral activity that gives an energetic burst as stress dissipates.,"Blue Dream, Cinex.","Earthy, Sweet, Tropical."
Cinderella 99,Hybrid,847,566,"uplifted, happy, euphoric, energetic, relaxed, dry-mouth, dry-eyes, paranoid, dizzy, anxious, sweet, citrus, earthy, pungent, woody, stress, depression, pain, fatigue, lack-of-appetite, anxiety, addadhd, ptsd, asthma, pms.",https://www.leafly.com/Hybrid/cinderella-99,4.335,"Cinderella 99, otherwise known as C99, or simply “Cindy,” is a sativa-dominant hybrid bred by Mr. Soul of Brothers Grimm. She’s best known for her potent cerebral high, sweet fruity flavors, and epic yields.  According to Mr. Soul, C99 was created using seeds found in a Sensi branded 2 gram package of Jack Herer purchased at an Amsterdam coffee shop.  Cinderella 99 is very popular with indoor growers because of its short, bushy stature, high yields, short flowering time, and high THC content (up to 23%).  Cindy’s effects are usually described as dreamy, euphoric, and uplifting.","Jack Herer, Shiva Skunk.","Sweet, Citrus, Earthy."
Cindy White,Hybrid,51,35,"euphoric, relaxed, uplifted, happy, focused, dry-mouth, headache, earthy, sweet, skunk, pungent, citrus, stress, depression, pain, fatigue, headaches, anxiety, addadhd, bipolar-disorder, migraines, spinal-cord-injury.",https://www.leafly.com/Hybrid/cindy-white,4.51,"Cindy White is a sativa-dominant hybrid cross between Cinderella 88 and Princess with uplifting effects that are ushered in by an earthy, floral aroma. With a heavy resin potentially inherited from her lineage, Cindy White has a potency that won her 1st place in the 2015 High Times Cannabis Cup in the “People’s Choice” category.",.,"Earthy, Sweet, Skunk."
Cinex,Sativa,861,573,"focused, energetic, happy, uplifted, creative, dry-mouth, dry-eyes, anxious, paranoid, dizzy, earthy, citrus, sweet, pungent, pine, stress, depression, fatigue, pain, headaches, anxiety, addadhd, ptsd, arthritis, migraines.",https://www.leafly.com/Sativa/cinex,4.325,"Cinex, a hybrid of parents Cinderella 99 and Vortex, has a mixture of flavors ranging from sweet citrus to earthy skunk. The effects are clear-headed and uplifting, perfect for building a positive mindset and stimulating creative energy. Consumers enjoy Cinex for its ability to suppress pain and depression.","Cinderella 99, Vortex.","Earthy, Citrus, Sweet."
Citrix,Hybrid,69,51,"happy, focused, energetic, uplifted, euphoric, anxious, paranoid, dry-mouth, citrus, orange, sweet, grapefruit, lemon, depression, stress, fatigue, lack-of-appetite, nausea, anxiety, bipolar-disorder, migraines, ptsd, crohns-disease.",https://www.leafly.com/Hybrid/citrix,4.205,"Citrix is a hybrid cannabis strain that draws its genetics from a flavorful Grapefruit mother and a resinous LA Confidential male. Named for its intense orange aroma, Citrix entices the senses before drawing you into its active, clear-headed euphoria. If Citrix makes it into your garden, the telltale signs of a good phenotype include a pungent aroma, disease resistance, heavy yields, rapid vegetative growth, and a dense bud structure.","Grapefruit, LA Confidential.","Citrus, Orange, Sweet."
Citrus Kush,Hybrid,72,55,"relaxed, happy, uplifted, euphoric, tingly, dry-mouth, paranoid, dry-eyes, headache, anxious, citrus, lemon, sweet, orange, spicyherbal, stress, pain, fatigue, lack-of-appetite, nausea, hypertension, migraines, addadhd, anxiety, pms.",https://www.leafly.com/Hybrid/citrus-kush,4.245,"Citrus Kush is a fresh and fruity blast for the senses. As the name implies, this indica-dominant hybrid has a deep citrus aroma with darker, muskier tones that support the theory of some Master Kush genetics. The taste follows suit with a sweet and sour mix that will bring to mind a bright bowl of lemons, limes, and oranges. Citrus Kush’s effects will be strong in both the head and body, providing a mood boost that leaves consumers happy (if a little out of it).",.,"Citrus, Lemon, Sweet."
Citrus Punch,Sativa,10,6,"focused, happy, relaxed, uplifted, creative, anxious, dry-mouth, citrus, orange, mango, peach, tropical, depression, fatigue.",https://www.leafly.com/Sativa/citrus-punch,4.5,"Citrus Punch by Potbox is a tangy splash of bright citrus and good vibes. This sativa-dominant strain smells of ripening oranges and tangerines with notes of grapefruit and lime. The uplifting aroma speaks to this strain’s Sour Tangie and Clementine genetics, but the sizzling cerebral effects tell of a mystery parent nestled just below the top layer of this heady fruit smoothie. Enjoy this strain outside, as the bright terpene profile begs for activity and fair","Sour Tangie, Clementine.","Citrus, Orange, Mango."
Citrus Sap,Hybrid,66,58,"relaxed, happy, euphoric, uplifted, focused, dry-mouth, anxious, dry-eyes, paranoid, headache, citrus, sweet, pungent, orange, lemon, depression, pain, stress, fatigue, headaches, anxiety, ptsd, addadhd, hypertension, migraines.",https://www.leafly.com/Hybrid/citrus-sap,4.41,"From Crockett Family Farms and DNA Genetics, Citrus Sap is a hybrid cross between Gorilla Glue #4 and Tangie. Growers can expect high yields, heavy resin production, and a sweet mandarin orange aroma, as well as a high calyx-to-leaf ratio. Its flowering time averages between 65 to 70 days.","Gorilla Glue #4, Tangie.","Citrus, Sweet, Pungent."
Citrus Sunshine Haze,Hybrid,9,8,"happy, uplifted, focused, energetic, creative, orange, citrus, lemon, lime, sweet, stress, depression, fatigue, pain, lack-of-appetite, addadhd, anxiety, migraines, ptsd, anorexia.",https://www.leafly.com/Hybrid/citrus-sunshine-haze,4.78,"Citrus Sunshine Haze by Cereal Killer Genetics is, as they describe it, “sunshine in a bag.” It was created by crossing Super Lemon Haze and Kosher Tangie #2. This genetic combination yields three distinct phenotypes ranging from 75/25 sativa-dominant to an even 50/50 split. All phenotypes share a magnificent citrus aroma that runs the gamut from lemon and lime candy, orange, and tangerine with a hint of herbaceous spice. With an average THC content of 28%, Citrus Sunshine Haze is not for the unseasoned consumer. This strain is a quality option when looking to combat depression, laziness, and mild pain while remaining upbeat.","Super Lemon Haze, Kosher Tangie.","Orange, Citrus, Lemon."
